,Gene.1,log2fc,pvals_stud,p-values-corr,log10_p,log10_p-corr,marker_symbol,entrez,path,significant
11146,Gpx5,0.2352676829268301,2.3913876316924723e-09,3.703258789929442e-08,8.621350021265958,7.431415937663978,Gpx5,14780,path:mmu00480,False
11149,Gpx6,-0.3442073170731668,0.011398169245582929,0.026929130651082364,1.9431648986977688,1.5697776666230965,Gpx6,75512,path:mmu00480,False
11152,Gpx7,0.07233963414634115,0.08293914635849729,0.14153780857661494,1.0812404388743642,0.8491275328402094,Gpx7,67305,path:mmu00480,False
11155,Gpx8,-0.14202378048780415,0.004522818378665921,0.012207137119674956,2.3445908517249827,1.913386177079896,Gpx8,69590,path:mmu00480,False
11158,Grap2,-0.14107926829268358,0.0008919725020540739,0.0030031287834759108,3.0496485339537607,2.5224260435074104,Grap2,17444,path:mmu04660,False
11159,Grb10,-0.0933280487804895,0.008142949333622381,0.020287688121821624,2.0892182674295223,1.6927674400608312,Grb10,14783,path:mmu04150,False
11160,Grb2,0.07318353658536125,0.03454106018093368,0.06820359030646812,1.4616643366103907,1.1661927630378544,Grb2,14784,path:mmu01521,False
11207,Grhpr,-0.08586585365853239,0.0045108069040510216,0.012182181370221666,2.3457457635252155,1.9142749389422895,Grhpr,76238,path:mmu00260,False
11211,Gria1,0.2830341463414614,4.162105265220245e-10,7.820961141659557e-09,9.380686940095998,8.106739871892952,Gria1,14799,path:mmu04024,False
11222,Gria2,0.07918475609756292,0.007046083102182533,0.01789383862946681,2.1520522390136354,1.7472964835372646,Gria2,14800,path:mmu04024,False
11234,Gria3,-0.4738719512195102,7.713513431839156e-05,0.00035652956347207446,4.112747759886884,3.4479044525710023,Gria3,53623,path:mmu04024,False
11244,Gria4,0.009426219512194578,0.7848636683532171,0.8424361644235054,0.10520577411317042,0.07446299786192412,Gria4,14802,path:mmu04024,False
11252,Grid1,-0.16933658536585128,0.0014187124619268266,0.004497542901225432,2.8481056164187253,2.3470246853083454,Grid1,14803,path:mmu04080,False
11253,Grid2,0.032200609756098515,0.3841168008376796,0.4883371380664183,0.41553669686626704,0.3112802463404961,Grid2,14804,path:mmu04080,False
11255,Grik1,0.10883780487804806,0.00022060540073068252,0.0008955045407983736,3.6563838596255533,3.0479322076500392,Grik1,14805,path:mmu04080,False
11257,Grik2,0.059562195121950275,0.05015950298079315,0.09329069400218216,1.2996467754821317,1.0301616761363683,Grik2,14806,path:mmu04080,False
11259,Grik3,0.07566951219511964,0.058526654278752324,0.106343471430187,1.2326463019546183,0.9732891668696194,Grik3,14807,path:mmu04080,False
11261,Grik4,0.10055670731707612,0.005736322740071675,0.014964638016010516,2.241366422143404,1.8249337839725053,Grik4,110637,path:mmu04080,False
11263,Grik5,-0.16660853658536467,0.00011040982105118518,0.0004885103227259632,3.956992294010509,3.3111262547588063,Grik5,14809,path:mmu04080,False
11265,Grin1,0.008461585365854063,0.8061404033145265,0.8580949341700456,0.09358931170063554,0.06646466191186319,Grin1,14810,path:mmu04014,False
11280,Grin2a,0.07295121951219219,0.16109405905157329,0.2446608318419074,0.7929204755255009,0.6114355520069115,Grin2a,14811,path:mmu04014,False
11296,Grin2b,0.16617926829268015,1.038554295775642e-06,8.073982108477958e-06,5.98357079355416,5.092912217298494,Grin2b,14812,path:mmu04014,False
11312,Grin2c,0.07216707317073467,0.1140898055693993,0.18406612269896805,0.9427531599880375,0.735026135878129,Grin2c,14813,path:mmu04020,False
11324,Grin2d,0.10693719512195088,0.0024986926138540503,0.0073440507771575176,2.60228716696996,2.1340643290612964,Grin2d,14814,path:mmu04020,False
11336,Grin3a,0.0946121951219494,0.010466041622846109,0.025087937077049597,1.9802175424287207,1.6005350482464693,Grin3a,242443,path:mmu04024,False
11343,Grin3b,-0.34570426829268275,9.856122024330873e-14,4.577468261410301e-12,13.00629392833656,11.339374658264314,Grin3b,170483,path:mmu04024,False
11350,Grk1,-0.07266951219512663,0.092462361242364,0.15499122199654675,1.0340350200323187,0.8096928976130235,Grk1,24013,path:mmu04062,False
11353,Grk4,0.09445609756097273,0.0034705023223342863,0.009728902068066394,2.4596076606474084,2.0119361682295693,Grk4,14772,path:mmu04062,False
11356,Grk5,0.01850609756097832,0.8142906574086842,0.8643673555915713,0.08922054796429303,0.06330164340165809,Grk5,14773,path:mmu04062,False
11359,Grk6,-0.14111768292683102,4.855356152217541e-05,0.00023779992151095353,4.31377890802791,3.6237882930620096,Grk6,26385,path:mmu04062,False
11362,Grm1,-0.05991829268292648,0.21117124583091376,0.3038099856834685,0.6753652178954576,0.5173979557663284,Grm1,14816,path:mmu04020,False
11373,Grm2,0.03047865853658926,0.4508101258761521,0.5544662366082229,0.34600633760652466,0.25612489442226666,Grm2,108068,path:mmu04072,False
11377,Grm3,-0.02960121951219552,0.4277958269041502,0.5318220155119631,0.3687634562332604,0.2742336884082517,Grm3,108069,path:mmu04072,False
11381,Grm4,-0.013629268292686623,0.725740270482515,0.7947907917537224,0.1392187777547513,0.09974717315974704,Grm4,268934,path:mmu04072,False
11385,Grm5,0.0939158536585385,0.02454794774855671,0.05119431127886684,1.6099848098030334,1.2907782952245168,Grm5,108071,path:mmu04020,False
